sentiment,content,processing_result
0,lionel messi sports argentinas new away jersey 2022 fifa world cup qatar see pics,"['lionel', 'messi', 'sport', 'argentina', 'new', 'away', 'jersey', '2022', 'fifa', 'world', 'cup', 'qatar', 'see', 'pic']"
0,never easy represent country world cup time absolute nightmare marginal player likely play bow jordan firmino maybe fabinho others sit fifa,"['never', 'easi', 'repres', 'countri', 'world', 'cup', 'time', 'absolut', 'nightmar', 'margin', 'player', 'like', 'play', 'bow', 'jordan', 'firmino', 'mayb', 'fabinho', 'other', 'sit', 'fifa']"
0,home away jerseys qatar 2022 fifa world cup,"['home', 'away', 'jersey', 'qatar', '2022', 'fifa', 'world', 'cup']"
2,lets talk ban sex world cup full story,"['let', 'talk', 'ban', 'sex', 'world', 'cup', 'full', 'stori']"
0,hope paid 40 million dollar fee advance byju becomes official sponsor fifa world cup qatar 2022,"['hope', 'paid', '40', 'million', 'dollar', 'fee', 'advanc', 'byju', 'becom', 'offici', 'sponsor', 'fifa', 'world', 'cup', 'qatar', '2022']"
0,countdown qatar 2022 fifa world cup 83 days go 1958 fifa world cup hosted sweden first time italy failed qualify world cup failed qualify consecutively last 2 editions 2018 russia n qatar 2022,"['countdown', 'qatar', '2022', 'fifa', 'world', 'cup', '83', 'day', 'go', '1958', 'fifa', 'world', 'cup', 'host', 'sweden', 'first', 'time', 'itali', 'fail', 'qualifi', 'world', 'cup', 'fail', 'qualifi', 'consecut', 'last', '2', 'edit', '2018', 'russia', 'n', 'qatar', '2022']"
2,design concept cans inspired qatar 2022 think design impression disclaimer images used commercial use used fair usage policy purpose post demonstration creativity,"['design', 'concept', 'can', 'inspir', 'qatar', '2022', 'think', 'design', 'impress', 'disclaim', 'imag', 'use', 'commerci', 'use', 'use', 'fair', 'usag', 'polici', 'purpos', 'post', 'demonstr', 'creativ']"
1,supreme committee delivery amp legacy aspire katara hospitality inviting food beverage businesses qatar deliver concession stands host locations qatar 2022,"['suprem', 'committe', 'deliveri', 'amp', 'legaci', 'aspir', 'katara', 'hospit', 'invit', 'food', 'beverag', 'busi', 'qatar', 'deliv', 'concess', 'stand', 'host', 'locat', 'qatar', '2022']"
2,minimum 120 maximum likelihood region one thousand pounds panini massively profiting fifas corrupt decision hold bunch worms,"['minimum', '120', 'maximum', 'likelihood', 'region', 'one', 'thousand', 'pound', 'panini', 'massiv', 'profit', 'fifa', 'corrupt', 'decis', 'hold', 'bunch', 'worm']"
2,four 19 sponsors qatar 2022 fifa world cup engaged risk migrant workers involved tournament companies mcdonalds visa crypto failing disclose information human rights,"['four', '19', 'sponsor', 'qatar', '2022', 'fifa', 'world', 'cup', 'engag', 'risk', 'migrant', 'worker', 'involv', 'tournament', 'compani', 'mcdonald', 'visa', 'crypto', 'fail', 'disclos', 'inform', 'human', 'right']"
2,sc organizes workshop riyadh familiarize saudi fans procedures fifa world cup qatar 2022 booking housing issuing haya card fans experience tournament cup 2022,"['sc', 'organ', 'workshop', 'riyadh', 'familiar', 'saudi', 'fan', 'procedur', 'fifa', 'world', 'cup', 'qatar', '2022', 'book', 'hous', 'issu', 'haya', 'card', 'fan', 'experi', 'tournament', 'cup', '2022']"
0,lusail sports club delivering world cup legacy ahead big kick official,"['lusail', 'sport', 'club', 'deliv', 'world', 'cup', 'legaci', 'ahead', 'big', 'kick', 'offici']"
1,glad offered role fifa world cup qatar 2022 take place next november believe opportunity would help gain experience learn people would come different continents cant wait,"['glad', 'offer', 'role', 'fifa', 'world', 'cup', 'qatar', '2022', 'take', 'place', 'next', 'novemb', 'believ', 'opportun', 'would', 'help', 'gain', 'experi', 'learn', 'peopl', 'would', 'come', 'differ', 'contin', 'cant', 'wait']"
2,new fears environmental cost fifa world cup qatar 2022 despite stadiums within 34 miles,"['new', 'fear', 'environment', 'cost', 'fifa', 'world', 'cup', 'qatar', '2022', 'despit', 'stadium', 'within', '34', 'mile']"
2,human rights watch urges fifa qatar compensate world cup workers,"['human', 'right', 'watch', 'urg', 'fifa', 'qatar', 'compens', 'world', 'cup', 'worker']"
1,lusail sports club president club embodies societal legacy fifa cup starts role promoting practice football community level modern sports destination attracts lusail citys residents surrounding areas sports,"['lusail', 'sport', 'club', 'presid', 'club', 'embodi', 'societ', 'legaci', 'fifa', 'cup', 'start', 'role', 'promot', 'practic', 'footbal', 'commun', 'level', 'modern', 'sport', 'destin', 'attract', 'lusail', 'citi', 'resid', 'surround', 'area', 'sport']"
1,darb lusail host several shows entertain visitors residents day night fifa world cup qatar 2022 official said,"['darb', 'lusail', 'host', 'sever', 'show', 'entertain', 'visitor', 'resid', 'day', 'night', 'fifa', 'world', 'cup', 'qatar', '2022', 'offici', 'said']"
2,shame,['shame']
0,ryan giggs quits welsh manager ahead world cup qatar 2022,"['ryan', 'gigg', 'quit', 'welsh', 'manag', 'ahead', 'world', 'cup', 'qatar', '2022']"
0,wish would chosen opc booked accommodation would doubled cultural experience well live,"['wish', 'would', 'chosen', 'opc', 'book', 'accommod', 'would', 'doubl', 'cultur', 'experi', 'well', 'live']"
1,explore beauty qatar authentic culture heritage tournament fifa world cup qatar 2022 give chance mesmerized popular cultural spots doha,"['explor', 'beauti', 'qatar', 'authent', 'cultur', 'heritag', 'tournament', 'fifa', 'world', 'cup', 'qatar', '2022', 'give', 'chanc', 'mesmer', 'popular', 'cultur', 'spot', 'doha']"
0,fifa world cup qatar 2022 countdown 84 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '84', 'day', 'kick']"
0,85 days qatar 2022 prepared qatar,"['85', 'day', 'qatar', '2022', 'prepar', 'qatar']"
0,watch preview shows fifa world cup 2022 countdown south america via,"['watch', 'preview', 'show', 'fifa', 'world', 'cup', '2022', 'countdown', 'south', 'america', 'via']"
0,day 9 asked conceive landing page idea fifa world cup qatar 2022,"['day', '9', 'ask', 'conceiv', 'land', 'page', 'idea', 'fifa', 'world', 'cup', 'qatar', '2022']"
0,fifa worldcup countdown clock,"['fifa', 'worldcup', 'countdown', 'clock']"
0,fifa world cup qatar 2022 countdown 85 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '85', 'day', 'kick']"
1,workshop aimed improve health precautions provide insights training workers improve aspect hotel operations particularly country counts start fifa world cup qatar 2022,"['workshop', 'aim', 'improv', 'health', 'precaut', 'provid', 'insight', 'train', 'worker', 'improv', 'aspect', 'hotel', 'oper', 'particularli', 'countri', 'count', 'start', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,jets help provide security fifa world cup 2022,"['jet', 'help', 'provid', 'secur', 'fifa', 'world', 'cup', '2022']"
1,qatar beautified buildings preparation fifa world cup qatar 2022,"['qatar', 'beautifi', 'build', 'prepar', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,go task best design landing page coming world cup 2022,"['go', 'task', 'best', 'design', 'land', 'page', 'come', 'world', 'cup', '2022']"
0,updated 2022 fan fest experience article many announcements qatar ensure fans many activation options visit updates,"['updat', '2022', 'fan', 'fest', 'experi', 'articl', 'mani', 'announc', 'qatar', 'ensur', 'fan', 'mani', 'activ', 'option', 'visit', 'updat']"
2,world cup biggest injustice humanity fifa sold world cup qatar money footballers participating world cup need raise voice issue thousands constructions workers died constructions world cup,"['world', 'cup', 'biggest', 'injustic', 'human', 'fifa', 'sold', 'world', 'cup', 'qatar', 'money', 'footbal', 'particip', 'world', 'cup', 'need', 'rais', 'voic', 'issu', 'thousand', 'construct', 'worker', 'die', 'construct', 'world', 'cup']"
0,doha based fan mitch scott believes qatar welcoming nature leave 1 impression visitors,"['doha', 'base', 'fan', 'mitch', 'scott', 'believ', 'qatar', 'welcom', 'natur', 'leav', '1', 'impress', 'visitor']"
1,asian sponsor fifa world cup qatar 2022 cheers fifa world cup 50 commission investment pm detail tg,"['asian', 'sponsor', 'fifa', 'world', 'cup', 'qatar', '2022', 'cheer', 'fifa', 'world', 'cup', '50', 'commiss', 'invest', 'pm', 'detail', 'tg']"
0,ready fifa world cup qatar 2022,"['readi', 'fifa', 'world', 'cup', 'qatar', '2022']"
0,qatar 2022 world cup begins nov 20 fifa,"['qatar', '2022', 'world', 'cup', 'begin', 'nov', '20', 'fifa']"
1,pakistan offers extra security qatar 2022 fifa world cup,"['pakistan', 'offer', 'extra', 'secur', 'qatar', '2022', 'fifa', 'world', 'cup']"
1,ceo fifa world cup nasser al khater profits qatar 2022 could top 6 billion know visit,"['ceo', 'fifa', 'world', 'cup', 'nasser', 'al', 'khater', 'profit', 'qatar', '2022', 'could', 'top', '6', 'billion', 'know', 'visit']"
0,fifa world cup qatar 2022 countdown 86 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '86', 'day', 'kick']"
0,latest less three months go climbed number 3rd latest fifa ranking vamos la albiceleste,"['latest', 'less', 'three', 'month', 'go', 'climb', 'number', '3rd', 'latest', 'fifa', 'rank', 'vamo', 'la', 'albicelest']"
2,scam alert way guarantee tickets fifa world cup qatar 2022 via official ticket website tickets sale platforms may non existent fake leave pocket,"['scam', 'alert', 'way', 'guarante', 'ticket', 'fifa', 'world', 'cup', 'qatar', '2022', 'via', 'offici', 'ticket', 'websit', 'ticket', 'sale', 'platform', 'may', 'non', 'exist', 'fake', 'leav', 'pocket']"
1,experience best fifa world cup 2022 hand picked selection best tours excursions qatar available early booking discover qatar,"['experi', 'best', 'fifa', 'world', 'cup', '2022', 'hand', 'pick', 'select', 'best', 'tour', 'excurs', 'qatar', 'avail', 'earli', 'book', 'discov', 'qatar']"
0,fifa world cup qatar 2022 official sticker collection album,"['fifa', 'world', 'cup', 'qatar', '2022', 'offici', 'sticker', 'collect', 'album']"
2,strictly come dancing final taken air world cup,"['strictli', 'come', 'danc', 'final', 'taken', 'air', 'world', 'cup']"
0,event calendar fifa world cup qatar 2022,"['event', 'calendar', 'fifa', 'world', 'cup', 'qatar', '2022']"
0,ahmad bin ali stadium receives fans north south american teams participating fifa world cup qatar 2022 cup 2022,"['ahmad', 'bin', 'ali', 'stadium', 'receiv', 'fan', 'north', 'south', 'american', 'team', 'particip', 'fifa', 'world', 'cup', 'qatar', '2022', 'cup', '2022']"
0,new electronic visa soon offer card holders 60 days explore kingdom heritage gateway,"['new', 'electron', 'visa', 'soon', 'offer', 'card', 'holder', '60', 'day', 'explor', 'kingdom', 'heritag', 'gateway']"
1,one africa greatest ever players samuel eto attended special events cameroon senegal ghana promote upcoming fifa world cup qatar 2022,"['one', 'africa', 'greatest', 'ever', 'player', 'samuel', 'eto', 'attend', 'special', 'event', 'cameroon', 'seneg', 'ghana', 'promot', 'upcom', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,samuel eto promoting fifa world cup qatar 2022 african tour,"['samuel', 'eto', 'promot', 'fifa', 'world', 'cup', 'qatar', '2022', 'african', 'tour']"
2,chiliz looking score fifa world cup qatar 2022 latest blockchain remember world cup watched sport event demand chiliz surge quite lot therefore chiliz definitely bullish near future,"['chiliz', 'look', 'score', 'fifa', 'world', 'cup', 'qatar', '2022', 'latest', 'blockchain', 'rememb', 'world', 'cup', 'watch', 'sport', 'event', 'demand', 'chiliz', 'surg', 'quit', 'lot', 'therefor', 'chiliz', 'definit', 'bullish', 'near', 'futur']"
2,rafique qatari company nasir bin abdullah amp sons didnt paid salaries provident funds several pakistani workers since 2017 really unfair qataren en,"['rafiqu', 'qatari', 'compani', 'nasir', 'bin', 'abdullah', 'amp', 'son', 'didnt', 'paid', 'salari', 'provid', 'fund', 'sever', 'pakistani', 'worker', 'sinc', '2017', 'realli', 'unfair', 'qataren', 'en']"
1,look soccer worldcup around corner already trending already feel hype coming,"['look', 'soccer', 'worldcup', 'around', 'corner', 'alreadi', 'trend', 'alreadi', 'feel', 'hype', 'come']"
2,world cup final held muted mean design inspirations world cup final stadium find lesson 13 world cup english,"['world', 'cup', 'final', 'held', 'mute', 'mean', 'design', 'inspir', 'world', 'cup', 'final', 'stadium', 'find', 'lesson', '13', 'world', 'cup', 'english']"
1,ambitions take career fifa world cup qatar 2022 check new opportunities live hospitality venue transport management find match gt,"['ambit', 'take', 'career', 'fifa', 'world', 'cup', 'qatar', '2022', 'check', 'new', 'opportun', 'live', 'hospit', 'venu', 'transport', 'manag', 'find', 'match', 'gt']"
1,qatar offer wide array entertainment options besides cultural adventure activities fans across globe fifa world cup qatar 2022,"['qatar', 'offer', 'wide', 'array', 'entertain', 'option', 'besid', 'cultur', 'adventur', 'activ', 'fan', 'across', 'globe', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,fifa world cup qatar 2022 projects boost national economy competitiveness ceo qiib,"['fifa', 'world', 'cup', 'qatar', '2022', 'project', 'boost', 'nation', 'economi', 'competit', 'ceo', 'qiib']"
0,ahmad bin ali stadium receives fans north south american teams participating fifa world cup qatar 2022,"['ahmad', 'bin', 'ali', 'stadium', 'receiv', 'fan', 'north', 'south', 'american', 'team', 'particip', 'fifa', 'world', 'cup', 'qatar', '2022']"
2,nations non qualification qatar 2022 fifa world cup safeguard possible future interference purely technical issues observe ministry functions presidency federations ministers sports briefs mr president,"['nation', 'non', 'qualif', 'qatar', '2022', 'fifa', 'world', 'cup', 'safeguard', 'possibl', 'futur', 'interfer', 'pure', 'technic', 'issu', 'observ', 'ministri', 'function', 'presid', 'feder', 'minist', 'sport', 'brief', 'mr', 'presid']"
1,feel football fever countdown years fifa world cup 87 days go ready,"['feel', 'footbal', 'fever', 'countdown', 'year', 'fifa', 'world', 'cup', '87', 'day', 'go', 'readi']"
0,fifa reporting ticket sales 2 45 million qatar 2022 world cup kicks november 17,"['fifa', 'report', 'ticket', 'sale', '2', '45', 'million', 'qatar', '2022', 'world', 'cup', 'kick', 'novemb', '17']"
1,futebol going amazing event,"['futebol', 'go', 'amaz', 'event']"
0,fifa world cup qatar 2022 countdown 87 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '87', 'day', 'kick']"
0,buy qatar 2022 tickets crypto nft,"['buy', 'qatar', '2022', 'ticket', 'crypto', 'nft']"
0,check sports predictions qatar 2022 worldcup via,"['check', 'sport', 'predict', 'qatar', '2022', 'worldcup', 'via']"
0,cherish ultra modern vocabulary words learn world cup english lesson 12 khalifa international stadium contact us get knowledge things qatar world cup learn english beautiful game,"['cherish', 'ultra', 'modern', 'vocabulari', 'word', 'learn', 'world', 'cup', 'english', 'lesson', '12', 'khalifa', 'intern', 'stadium', 'contact', 'us', 'get', 'knowledg', 'thing', 'qatar', 'world', 'cup', 'learn', 'english', 'beauti', 'game']"
0,video welcome fifa world cup 2022 fans holders hayya card spend 60 days kingdom world cup season en,"['video', 'welcom', 'fifa', 'world', 'cup', '2022', 'fan', 'holder', 'hayya', 'card', 'spend', '60', 'day', 'kingdom', 'world', 'cup', 'season', 'en']"
2,rights fifa needs work qatari authorities set aside least 440 million equivalent prize money provided 2022 world cup teams invest funds compensate workers improve worker protections,"['right', 'fifa', 'need', 'work', 'qatari', 'author', 'set', 'asid', 'least', '440', 'million', 'equival', 'prize', 'money', 'provid', '2022', 'world', 'cup', 'team', 'invest', 'fund', 'compens', 'worker', 'improv', 'worker', 'protect']"
2,cw worker death amp abuse least 6 750 migrant workers died qatar since fifa announced world cup 2010 counts 5 countries india pakistan nepal bangladesh amp sri lanka ht amp rights,"['cw', 'worker', 'death', 'amp', 'abus', 'least', '6', '750', 'migrant', 'worker', 'die', 'qatar', 'sinc', 'fifa', 'announc', 'world', 'cup', '2010', 'count', '5', 'countri', 'india', 'pakistan', 'nepal', 'bangladesh', 'amp', 'sri', 'lanka', 'ht', 'amp', 'right']"
1,cool see people managed build exceptional venues amazing mix,"['cool', 'see', 'peopl', 'manag', 'build', 'except', 'venu', 'amaz', 'mix']"
0,honour pak army pak army picked fifa world cup qatar 2022 20 000 officials start reaching doha starting next month pak qatar together stand,"['honour', 'pak', 'armi', 'pak', 'armi', 'pick', 'fifa', 'world', 'cup', 'qatar', '2022', '20', '000', 'offici', 'start', 'reach', 'doha', 'start', 'next', 'month', 'pak', 'qatar', 'togeth', 'stand']"
0,road qatar 2022 87 days go excitement everywhere qatar set host fifa world cup qatar looking forward world cup next months gupa w,"['road', 'qatar', '2022', '87', 'day', 'go', 'excit', 'everywher', 'qatar', 'set', 'host', 'fifa', 'world', 'cup', 'qatar', 'look', 'forward', 'world', 'cup', 'next', 'month', 'gupa', 'w']"
1,ceo fifa world cup qatar 2022 nasser al khater said fifa estimates world cups returns could reach 6 billion,"['ceo', 'fifa', 'world', 'cup', 'qatar', '2022', 'nasser', 'al', 'khater', 'said', 'fifa', 'estim', 'world', 'cup', 'return', 'could', 'reach', '6', 'billion']"
0,plans review regarding transfer saudi fans qatar land crossing stated ceo fifa world cup qatar 2022 nasser al khater,"['plan', 'review', 'regard', 'transfer', 'saudi', 'fan', 'qatar', 'land', 'cross', 'state', 'ceo', 'fifa', 'world', 'cup', 'qatar', '2022', 'nasser', 'al', 'khater']"
0,bsc hype coming around world fan favorite dogs already bsc mascot fifa world cup,"['bsc', 'hype', 'come', 'around', 'world', 'fan', 'favorit', 'dog', 'alreadi', 'bsc', 'mascot', 'fifa', 'world', 'cup']"
0,sale huge impact niche item news memorability easy say easy spell possibilities one click,"['sale', 'huge', 'impact', 'nich', 'item', 'news', 'memor', 'easi', 'say', 'easi', 'spell', 'possibl', 'one', 'click']"
0,nff faces legal tussle qatar 2022 fifa world cup media slots,"['nff', 'face', 'legal', 'tussl', 'qatar', '2022', 'fifa', 'world', 'cup', 'media', 'slot']"
1,first ever lusail super cup set sold next 48 hours ceo fifa world cup qatar 2022 nasser al khater said egyptian superstar also performing iconic 80 000 seat venue september 9 secured tickets,"['first', 'ever', 'lusail', 'super', 'cup', 'set', 'sold', 'next', '48', 'hour', 'ceo', 'fifa', 'world', 'cup', 'qatar', '2022', 'nasser', 'al', 'khater', 'said', 'egyptian', 'superstar', 'also', 'perform', 'icon', '80', '000', 'seat', 'venu', 'septemb', '9', 'secur', 'ticket']"
0,8 7 number days year certain born adding fifa world cup trophy cabinet,"['8', '7', 'number', 'day', 'year', 'certain', 'born', 'ad', 'fifa', 'world', 'cup', 'trophi', 'cabinet']"
0,live world cup fifa 2022 experience aximtrade ready lifetime experience one 10 lucky traders win vip trip world cup qatar 2022 1 trade 2 win 3 pack bags discover,"['live', 'world', 'cup', 'fifa', '2022', 'experi', 'aximtrad', 'readi', 'lifetim', 'experi', 'one', '10', 'lucki', 'trader', 'win', 'vip', 'trip', 'world', 'cup', 'qatar', '2022', '1', 'trade', '2', 'win', '3', 'pack', 'bag', 'discov']"
1,myriam fares performs opening 2022 world cup qatar,"['myriam', 'fare', 'perform', 'open', '2022', 'world', 'cup', 'qatar']"
0,futebol truly think coming home know huge amounts england fans going support three lions,"['futebol', 'truli', 'think', 'come', 'home', 'know', 'huge', 'amount', 'england', 'fan', 'go', 'support', 'three', 'lion']"
1,ceo fifa world cup qatar 2022 nasser al khater said fifa estimates world cup returns could reach 6 billion,"['ceo', 'fifa', 'world', 'cup', 'qatar', '2022', 'nasser', 'al', 'khater', 'said', 'fifa', 'estim', 'world', 'cup', 'return', 'could', 'reach', '6', 'billion']"
2,israeli apartheid sends gazan fans world cup seems twitter doesnt want video youtube link attached,"['isra', 'apartheid', 'send', 'gazan', 'fan', 'world', 'cup', 'seem', 'twitter', 'doesnt', 'want', 'video', 'youtub', 'link', 'attach']"
1,fifa world cup qatar 2022 returns could reach 6 billion nasser al khater,"['fifa', 'world', 'cup', 'qatar', '2022', 'return', 'could', 'reach', '6', 'billion', 'nasser', 'al', 'khater']"
1,nasser al khater qna world cup returns could reach 6 billion,"['nasser', 'al', 'khater', 'qna', 'world', 'cup', 'return', 'could', 'reach', '6', 'billion']"
1,al khater revenues may 6 billion dollars according fifa estimates,"['al', 'khater', 'revenu', 'may', '6', 'billion', 'dollar', 'accord', 'fifa', 'estim']"
1,aim symposium prepare aspetars medical staff fifa world cup qatar 2022,"['aim', 'symposium', 'prepar', 'aspetar', 'medic', 'staff', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,food beverage businesses qatar invited support upcoming fifa world cup,"['food', 'beverag', 'busi', 'qatar', 'invit', 'support', 'upcom', 'fifa', 'world', 'cup']"
0,love soccer opportunity travel qatar november worry watching fifa world cup qatar 2022 home city could fun eight official stadiums,"['love', 'soccer', 'opportun', 'travel', 'qatar', 'novemb', 'worri', 'watch', 'fifa', 'world', 'cup', 'qatar', '2022', 'home', 'citi', 'could', 'fun', 'eight', 'offici', 'stadium']"
1,food amp beverage businesses qatar invited support upcoming fifa world cup,"['food', 'amp', 'beverag', 'busi', 'qatar', 'invit', 'support', 'upcom', 'fifa', 'world', 'cup']"
2,pak army providing security fifa world cup qatar insulting citizen pak armed forces protecting borders rather providing service security company foreign country amp sporting event,"['pak', 'armi', 'provid', 'secur', 'fifa', 'world', 'cup', 'qatar', 'insult', 'citizen', 'pak', 'arm', 'forc', 'protect', 'border', 'rather', 'provid', 'servic', 'secur', 'compani', 'foreign', 'countri', 'amp', 'sport', 'event']"
1,communications regulatory authority cra affirms providing high quality services fifa world cup qatar 2022,"['commun', 'regulatori', 'author', 'cra', 'affirm', 'provid', 'high', 'qualiti', 'servic', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,general authority customs integrated coordination supreme committee delivery amp legacy sc comprehensive support 24 hours day 7 days week,"['gener', 'author', 'custom', 'integr', 'coordin', 'suprem', 'committe', 'deliveri', 'amp', 'legaci', 'sc', 'comprehens', 'support', '24', 'hour', 'day', '7', 'day', 'week']"
1,hosting first carbon 0 football ever 2022 use solar powered stadiums groundbreaking cooling lighting technology,"['host', 'first', 'carbon', '0', 'footbal', 'ever', '2022', 'use', 'solar', 'power', 'stadium', 'groundbreak', 'cool', 'light', 'technolog']"
0,stock available subbuteoworld official licensed fifa world cup trophy qatar 2022 available 70mm 100mm 150mm,"['stock', 'avail', 'subbuteoworld', 'offici', 'licens', 'fifa', 'world', 'cup', 'trophi', 'qatar', '2022', 'avail', '70mm', '100mm', '150mm']"
1,fifa world cup trophy tour resumes 32 qualified nations visited first time ever,"['fifa', 'world', 'cup', 'trophi', 'tour', 'resum', '32', 'qualifi', 'nation', 'visit', 'first', 'time', 'ever']"
2,one problems going watch reliable affordable platform,"['one', 'problem', 'go', 'watch', 'reliabl', 'afford', 'platform']"
1,cant believe amazing artists contributing make world cup exceptional one kind,"['cant', 'believ', 'amaz', 'artist', 'contribut', 'make', 'world', 'cup', 'except', 'one', 'kind']"
1,making medical workforce ready world cup qatar 2022,"['make', 'medic', 'workforc', 'readi', 'world', 'cup', 'qatar', '2022']"
1,mass casualty simulation exercise held ahead fifa world cup,"['mass', 'casualti', 'simul', 'exercis', 'held', 'ahead', 'fifa', 'world', 'cup']"
1,general authority customs held coordination meeting customs support teams part authoritys preparations important international events qatar hosting notably,"['gener', 'author', 'custom', 'held', 'coordin', 'meet', 'custom', 'support', 'team', 'part', 'author', 'prepar', 'import', 'intern', 'event', 'qatar', 'host', 'notabl']"
0,fifa world cup around corner read,"['fifa', 'world', 'cup', 'around', 'corner', 'read']"
1,sc hospitality invite food beverage businesses qatar deliver concession stands,"['sc', 'hospit', 'invit', 'food', 'beverag', 'busi', 'qatar', 'deliv', 'concess', 'stand']"
2,sportswashing homophobia anti union anti worker policies,"['sportswash', 'homophobia', 'anti', 'union', 'anti', 'worker', 'polici']"
0,fifa world cup qatar 2022 countdown 88 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '88', 'day', 'kick']"
0,felix afena gyan move cremonese roma young ghanaian striker game time ahead 2022 fifa world cup,"['felix', 'afena', 'gyan', 'move', 'cremones', 'roma', 'young', 'ghanaian', 'striker', 'game', 'time', 'ahead', '2022', 'fifa', 'world', 'cup']"
2,please take issue rampant corruption countries like brazil corrupt officials openly supporting praful patels world world leaders something bribing qatar got world c,"['pleas', 'take', 'issu', 'rampant', 'corrupt', 'countri', 'like', 'brazil', 'corrupt', 'offici', 'openli', 'support', 'praful', 'patel', 'world', 'world', 'leader', 'someth', 'bribe', 'qatar', 'got', 'world', 'c']"
0,official fifa announce qatar vs ecuador played nov 20 making opening match 2022 world cup,"['offici', 'fifa', 'announc', 'qatar', 'vs', 'ecuador', 'play', 'nov', '20', 'make', 'open', 'match', '2022', 'world', 'cup']"
1,lets enjoying relaxing waiting greatest football tourmament earth year gt fifa world cup qatar 2022 panini sticker qatar 2022 album games online,"['let', 'enjoy', 'relax', 'wait', 'greatest', 'footbal', 'tourmament', 'earth', 'year', 'gt', 'fifa', 'world', 'cup', 'qatar', '2022', 'panini', 'sticker', 'qatar', '2022', 'album', 'game', 'onlin']"
0,arhbo new single fifa world cup qatar 2022 official soundtrack released week,"['arhbo', 'new', 'singl', 'fifa', 'world', 'cup', 'qatar', '2022', 'offici', 'soundtrack', 'releas', 'week']"
2,four qatar 2022 fifa world cup sponsors addressing migrant worker risk,"['four', 'qatar', '2022', 'fifa', 'world', 'cup', 'sponsor', 'address', 'migrant', 'worker', 'risk']"
2,sponsors engaged issues related migrant workers faced human rights breaches build biggest event international football,"['sponsor', 'engag', 'issu', 'relat', 'migrant', 'worker', 'face', 'human', 'right', 'breach', 'build', 'biggest', 'event', 'intern', 'footbal']"
1,enable visitors especially upcoming fifa world cup qatar 2022 process complete digital payments qcb added,"['enabl', 'visitor', 'especi', 'upcom', 'fifa', 'world', 'cup', 'qatar', '2022', 'process', 'complet', 'digit', 'payment', 'qcb', 'ad']"
1,three day workshop organised safety amp security operations committee ssoc fifa world cup qatar 2022 co operation international criminal police organisation interpol represented stadia project,"['three', 'day', 'workshop', 'organis', 'safeti', 'amp', 'secur', 'oper', 'committe', 'ssoc', 'fifa', 'world', 'cup', 'qatar', '2022', 'co', 'oper', 'intern', 'crimin', 'polic', 'organis', 'interpol', 'repres', 'stadia', 'project']"
1,workshop police cooperation within security preparations qatar 2022 opens,"['workshop', 'polic', 'cooper', 'within', 'secur', 'prepar', 'qatar', '2022', 'open']"
2,fifa urged speed response appeal case ecuador player chile claim played ineligible world cup qualifying read,"['fifa', 'urg', 'speed', 'respons', 'appeal', 'case', 'ecuador', 'player', 'chile', 'claim', 'play', 'inelig', 'world', 'cup', 'qualifi', 'read']"
2,lgbtq spectators guaranteed safety migrant workers injured died migrant labourers deported protesting thought awarding good idea,"['lgbtq', 'spectat', 'guarante', 'safeti', 'migrant', 'worker', 'injur', 'die', 'migrant', 'labour', 'deport', 'protest', 'thought', 'award', 'good', 'idea']"
2,still dont understand calculation 13 europe everywhere else 5 4 countries need educated,"['still', 'dont', 'understand', 'calcul', '13', 'europ', 'everywher', 'els', '5', '4', 'countri', 'need', 'educ']"
2,whats en workers building country bringing prosperity thank brutal working conditions months without pay deportations arrests disgusting,"['what', 'en', 'worker', 'build', 'countri', 'bring', 'prosper', 'thank', 'brutal', 'work', 'condit', 'month', 'without', 'pay', 'deport', 'arrest', 'disgust']"
0,11 day children event feature 27 teams 24 countries education city stadium one eight venues qatar 2022,"['11', 'day', 'children', 'event', 'featur', '27', 'team', '24', 'countri', 'educ', 'citi', 'stadium', 'one', 'eight', 'venu', 'qatar', '2022']"
0,learn lusail stadium host lusail super cup 9 september final 18 december,"['learn', 'lusail', 'stadium', 'host', 'lusail', 'super', 'cup', '9', 'septemb', 'final', '18', 'decemb']"
2,controversial 2022 fifa world cup took spotlight week qatar detained least 60 migrant labourers protesting working conditions middle eastern country,"['controversi', '2022', 'fifa', 'world', 'cup', 'took', 'spotlight', 'week', 'qatar', 'detain', 'least', '60', 'migrant', 'labour', 'protest', 'work', 'condit', 'middl', 'eastern', 'countri']"
0,could agree african teams going give 120 years,"['could', 'agre', 'african', 'team', 'go', 'give', '120', 'year']"
1,arhbo new single official soundtrack featuring available streaming services friday 26 august,"['arhbo', 'new', 'singl', 'offici', 'soundtrack', 'featur', 'avail', 'stream', 'servic', 'friday', '26', 'august']"
